============================================================
           BRUTE-FORCE NEAR-DUPLICATE DETECTION            
============================================================

=== Parameters ===
Shingle size (k): 4
Similarity threshold: 0.7
Total comparisons: 999900
Execution time: 124.520 seconds

=== Detection Results ===
Query Document           Matched Corpus           Similarity
IELTS_002_VAR_024        IELTS_002                0.9724
IELTS_002_VAR_025        IELTS_002                0.9725
IELTS_002_VAR_026        IELTS_002                0.9796
IELTS_002_VAR_027        IELTS_002                0.9796
IELTS_002_VAR_028        IELTS_002                0.9756
IELTS_002_VAR_029        IELTS_002                0.9756
IELTS_002_VAR_030        IELTS_002                0.9715
IELTS_002_VAR_031        IELTS_002                0.9726
IELTS_002_VAR_032        IELTS_002                0.9856
IELTS_002_VAR_033        IELTS_002                0.9716
IELTS_002_VAR_034        IELTS_002                0.9667
IELTS_002_VAR_035        IELTS_002                0.9696
IELTS_002_VAR_036        IELTS_002                0.9627
IELTS_002_VAR_037        IELTS_002                0.9545
IELTS_002_VAR_038        IELTS_002                0.9569
IELTS_002_VAR_039        IELTS_002                0.9368
IELTS_002_VAR_040        IELTS_002                0.9400
IELTS_002_VAR_041        IELTS_002                0.9319
IELTS_002_VAR_042        IELTS_002                0.9775
IELTS_002_VAR_043        IELTS_002                0.9370
IELTS_002_VAR_044        IELTS_002                0.9425
IELTS_002_VAR_045        IELTS_002                0.9588
IELTS_002_VAR_046        IELTS_002                0.9607
IELTS_002_VAR_047        IELTS_002                0.9578
IELTS_002_VAR_048        IELTS_002                0.9517
IELTS_002_VAR_049        IELTS_002                0.9503
IELTS_002_VAR_050        IELTS_002                0.9540
IELTS_002_VAR_051        IELTS_002                0.9578
IELTS_002_VAR_052        IELTS_002                0.9398
IELTS_002_VAR_053        IELTS_002                0.9400
IELTS_002_VAR_054        IELTS_002                0.9569
IELTS_002_VAR_055        IELTS_002                0.9648
IELTS_002_VAR_056        IELTS_002                0.9715
IELTS_002_VAR_057        IELTS_002                0.9551
IELTS_002_VAR_058        IELTS_002                0.9325
IELTS_002_VAR_059        IELTS_002                0.9657
IELTS_002_VAR_060        IELTS_002                0.9339
IELTS_002_VAR_061        IELTS_002                0.9483
IELTS_002_VAR_062        IELTS_002                0.9312
IELTS_002_VAR_063        IELTS_002                0.9427
IELTS_002_VAR_064        IELTS_002                0.9420
IELTS_002_VAR_065        IELTS_002                0.9588
IELTS_002_VAR_066        IELTS_002                0.9527
IELTS_002_VAR_067        IELTS_002                0.9467
IELTS_002_VAR_068        IELTS_002                0.9569
IELTS_002_VAR_069        IELTS_002                0.9578
IELTS_002_VAR_070        IELTS_002                0.9540
IELTS_002_VAR_071        IELTS_002                0.9260
IELTS_002_VAR_072        IELTS_002                0.9179
IELTS_002_VAR_073        IELTS_002                0.8975
IELTS_002_VAR_074        IELTS_002                0.9387
IELTS_002_VAR_075        IELTS_002                0.9410
IELTS_002_VAR_076        IELTS_002                0.9255
IELTS_002_VAR_077        IELTS_002                0.9078
IELTS_002_VAR_078        IELTS_002                0.9486
IELTS_002_VAR_079        IELTS_002                0.9207
IELTS_002_VAR_080        IELTS_002                0.9196
IELTS_002_VAR_081        IELTS_002                0.9260
IELTS_002_VAR_082        IELTS_002                0.9343
IELTS_002_VAR_083        IELTS_002                0.9223
IELTS_002_VAR_084        IELTS_002                0.9143
IELTS_002_VAR_085        IELTS_002                0.9149
IELTS_002_VAR_086        IELTS_002                0.9090
IELTS_002_VAR_087        IELTS_002                0.9262
IELTS_002_VAR_088        IELTS_002                0.9393
IELTS_002_VAR_089        IELTS_002                0.9165
IELTS_002_VAR_090        IELTS_002                0.9329
IELTS_002_VAR_091        IELTS_002                0.9163
IELTS_002_VAR_092        IELTS_002                0.9347
IELTS_002_VAR_093        IELTS_002                0.9105
IELTS_002_VAR_094        IELTS_002                0.9191
IELTS_002_VAR_095        IELTS_002                0.9364
IELTS_002_VAR_096        IELTS_002                0.9165
